id,name,lat,lon,uri,country
HU5541530,Kőbánya ipvk. (Hidvégardó),48.579623,20.849701,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6a4c03e9c4f1ced2f1aeca14801c0e7c244f20af,http://publications.europa.eu/resource/authority/country/HUN
HU5519406,Csikéria,46.116411,19.492693,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2be648b5f7c7a0b009c2121018d500c6bb60af9a,http://publications.europa.eu/resource/authority/country/HUN
HU5513052,Hidvégardó rh.,48.57934,20.849105,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/86d588d9cf4414d8cb79edc8ff73a3eb7c313c76,http://publications.europa.eu/resource/authority/country/HUN
HU5510967,Balassagyarmat,48.071418,19.293705,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/084990378106201021e9632a02cb0082f7bf76ff,http://publications.europa.eu/resource/authority/country/HUN
HU5505561,Őrtilos,46.29785,16.887834,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4867a865dd1b2b56c60afadbe4fd81c51c459c31,http://publications.europa.eu/resource/authority/country/HUN
HU5501222,Komárom,47.749733,18.113977,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3520b280d8f9a4c34a3848f6d346127831d96fae,http://publications.europa.eu/resource/authority/country/HUN
HU5501552,Süttő,47.761174,18.454878,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a5d7ad1c710e846051b1c6041cb00410d232ffd0,http://publications.europa.eu/resource/authority/country/HUN
HU5501602,Nyergesújfalu,47.76109,18.561481,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ccf4dc2e7a247085c5361b3a903485efff4ef0a9,http://publications.europa.eu/resource/authority/country/HUN
HU5501214,Komárom-Rendező,47.748603,18.125389,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d7e473d7fb5f3f57ee897a4c9cf99979bef1bad7,http://publications.europa.eu/resource/authority/country/HUN
HU5500539,Záhony határ vágányfonódás-elágazás,48.412153,22.187988,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/568db92207d225f93b66e9aac66410d82ae386b6,http://publications.europa.eu/resource/authority/country/HUN
EU00172,Rajka oh.,48.01373,17.17945,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9715818a93ac7f0ffa67442cc491ca6d247bf587,http://publications.europa.eu/resource/authority/country/HUN
EU00196,Lőkösháza-Curtici,46.409703,21.252697,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1d2b4852a7bbee1f5363943ca7a29936192e7ed7,http://publications.europa.eu/resource/authority/country/HUN
EU00198,Ágerdőmajor-Berveni,47.769806,22.435682,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/75122ef6e39d82d9f12a3e559947887c003f377e,http://publications.europa.eu/resource/authority/country/HUN
HU5511031,Ráróspuszta mh.,48.207223,19.541213,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5b52028547d047337f720f7d1135772f47964e40,http://publications.europa.eu/resource/authority/country/HUN
HU5540295,Süttő felső mh.,47.756816,18.437368,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f467afd15f47a3415f9cf85f99872cd500d3169d,http://publications.europa.eu/resource/authority/country/HUN
HU5508821,Hidvégardó oh.,48.579908,20.850034,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d8729ba72169e7d43efcca7b5ed704c34aa049b,http://publications.europa.eu/resource/authority/country/HUN
EU00201,Botovo-Gyékényes,46.24703,16.94493,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6e5ef2d8b50bba0201536873c02caef2fe2516fb,http://publications.europa.eu/resource/authority/country/HUN
HU5509597,Csikéria oh.,46.116003,19.51825,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6fe2da26000151e79290b0889f9b1b8f8165d24c,http://publications.europa.eu/resource/authority/country/HUN
EU00171,Komárom-Komárno št. hr.,47.75657,18.0879,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/711a3a89c4ac45a28d64825363fa2b1fc223e4e8,http://publications.europa.eu/resource/authority/country/HUN
EU00169,Ipolytarnóc-Lučenec št. hr.,48.24626,19.63834,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8f378872f922228564d609a549c8dc7411946477,http://publications.europa.eu/resource/authority/country/HUN
EU00193,Záhony-Чоп,48.41547,22.18605,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/99702de82c5097862c4ac5f0de839714f71b7e88,http://publications.europa.eu/resource/authority/country/HUN
HU5509556,Záhony oh. (sz.),48.41417,22.186062,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a8d2f9dfcc15f68e7e265e894571ac3f3b24af3c,http://publications.europa.eu/resource/authority/country/HUN
EU00105,Nickelsdorf-Hegyeshalom,47.9384856,17.0954082,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c219d09889c75208e0219c9d0b8655bc6acb0051,http://publications.europa.eu/resource/authority/country/HUN
HU5501594,Nyergesújfalu felső mh.,47.762359,18.540661,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ea0d65efc017a101be74648bdd4bffd6388d0ba5,http://publications.europa.eu/resource/authority/country/HUN
EU00199,Kelebia-Суботица / Subotica,46.16952,19.63273,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f27dc959f120841bf483907d674731a124336716,http://publications.europa.eu/resource/authority/country/HUN
