osm_id,name_osm,type_osm,ref_osm,lat_osm,lon_osm,nearest_op_uri,nearest_op_id,nearest_op_name,nearest_distance_m
node/11670588155,Hazelhatch & Celbridge,stop,4,53.3238528,-6.5213498,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0ceaaaaaf10f82cdb664ade775ad2601928c0d4c,IE+OP120,Hazelhatch Station,240.7
node/11670590563,Hazelhatch & Celbridge,stop,3,53.3238039,-6.5212611,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0ceaaaaaf10f82cdb664ade775ad2601928c0d4c,IE+OP120,Hazelhatch Station,241.4
node/3586556482,Bray Daly,stop,,53.2045193,-6.1006849,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/20e3b0b255a35c15364839f4decf1edabf17d1e3,IE+OP62,Bray Daly Station,247.8
node/5403839993,Bray Daly,station,BRAY,53.2044148,-6.1005613,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/20e3b0b255a35c15364839f4decf1edabf17d1e3,IE+OP62,Bray Daly Station,261.6
node/2721652053,Bray Daly,stop,,53.2043059,-6.1004278,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/20e3b0b255a35c15364839f4decf1edabf17d1e3,IE+OP62,Bray Daly Station,276.1
node/2611502527,Adamstown,stop,,53.3358835,-6.4650482,,,,
node/8149879527,Bilberry,station,,52.2704507,-7.1392105,,,,
node/11670588161,Clondalkin & Fonthill,stop,,53.3333752,-6.4037742,,,,
node/3739082904,Clonsilla,stop,,53.3836428,-6.4261281,,,,
node/224005710,Clontarf Road,stop,CTARF,53.3628154,-6.2276058,,,,
node/3754477518,Clontarf Road,stop,CTARF,53.3627885,-6.2275629,,,,
node/5403851296,Clontarf Road,station,CTARF,53.3630675,-6.2268626,,,,
node/3658872050,Dublin Heuston,stop,8,53.3463989,-6.2977605,,,,
node/6854406236,Dublin Heuston,stop,1,53.3458957,-6.2980849,,,,
node/6854406239,Dublin Heuston,stop,6,53.346274,-6.2976968,,,,
node/6854406240,Dublin Heuston,stop,7,53.3463248,-6.2977288,,,,
node/1858006806,Fintown Railway,station,,54.8674276,-8.1190743,,,,
node/614241268,Hansfield,station,HAFLD,53.3870051,-6.4420549,,,,
node/2561935263,Hansfield,stop,,53.3867415,-6.4410952,,,,
node/7234111685,Hansfield,stop,,53.3871445,-6.4425756,,,,
node/224005724,Harmonstown,stop,,53.3783186,-6.1925665,,,,
node/2756844301,Harmonstown,stop,,53.3782875,-6.1925416,,,,
node/5403904825,Harmonstown,station,HTOWN,53.3783621,-6.1924014,,,,
node/3841573179,JFK Memorial Park Miniature Railway,station,,52.3129727,-6.9393741,,,,
node/661448,Killester,stop,,53.3727894,-6.2049888,,,,
node/2756566300,Killester,stop,,53.3727669,-6.2049686,,,,
node/7176421919,Killester,station,KLSTR,53.3728003,-6.2049157,,,,
node/389853714,Kilmeadan,station,,52.2467855,-7.2472989,,,,
node/827777186,Kishoge,station,KISHO,53.3344333,-6.4302177,,,,
node/3841631444,Leisureland Express,station,,53.2584349,-9.0833257,,,,
node/3647751526,Limerick Colbert,stop,,52.6586842,-8.6242072,,,,
node/6740364330,Limerick Colbert,station,LMRCK,52.6588782,-8.6246847,,,,
node/8399667627,Limerick Colbert,stop,,52.6587907,-8.6241373,,,,
node/8399667726,Limerick Colbert,stop,,52.6587204,-8.6241771,,,,
node/10858269672,Limerick Colbert,stop,,52.6583447,-8.6235889,,,,
node/2293379916,Listowel,stop,,52.4496753,-9.490858,,,,
node/2390150255,Marlay Park,halt,,53.273377,-6.2744997,,,,
node/9671208696,Mount Congreve Gardens,station,,52.2420856,-7.2147426,,,,
node/12463746429,Muchheap,halt,,51.7198625,-9.4274827,,,,
node/3822088768,Oakfield Park,station,,54.8764951,-7.5746376,,,,
node/224005732,Raheny,stop,,53.3816141,-6.1761822,,,,
node/2756844339,Raheny,stop,,53.3815843,-6.1761705,,,,
node/5519210321,Raheny,station,RAHNY,53.3816065,-6.1761274,,,,
node/13062324073,Shankill,stop,,53.2242419,-6.1153814,,,,
node/4178209113,Tramore Miniature Railway,station,,52.1599527,-7.1448487,,,,
node/5045077167,Westport House,station,,53.80138,-9.5370959,,,,
node/13062324067,Woodbrook,station,WBROK,53.2217619,-6.1108419,,,,
node/13063498189,Woodbrook,stop,,53.2220203,-6.1109896,,,,
node/13063498190,Woodbrook,stop,,53.2220311,-6.1109235,,,,
